Prebuilt Roles,,,,Custom Roles
chronicle.feedPacks.get,chronicle.instances.generateCollectionAgentAuth,chronicle.legacies.legacySearchFindings,,chronicle.iocAssociations.get
chronicle.feedPacks.list,chronicle.instances.generateSoarAuthJwt,chronicle.legacies.legacySearchIngestionStats,,chronicle.iocMatches.get
chronicle.feedServiceAccounts.fetch,chronicle.instances.get,chronicle.legacies.legacySearchIoCInsights,,chronicle.iocMatches.list
chronicle.feedSourceTypeSchemas.list,chronicle.instances.logTypeClassifier,chronicle.legacies.legacySearchRawLogs,,chronicle.iocState.get
chronicle.feeds.create,chronicle.instances.report,chronicle.legacies.legacySearchRuleDetectionCountBuckets,,chronicle.iocState.update
chronicle.feeds.delete,chronicle.iocAssociations.batchGet,chronicle.legacies.legacySearchRuleDetectionEvents,,chronicle.iocs.batchGet
chronicle.feeds.disable,chronicle.iocAssociations.fetchRelatedIocAssociations,chronicle.legacies.legacySearchRuleResults,,chronicle.iocs.findFirstAndLastSeen
chronicle.feeds.enable,chronicle.iocAssociations.fetchRelatedThreatCollections,chronicle.legacies.legacySearchRulesAlerts,,chronicle.iocs.get
chronicle.feeds.generateSecret,chronicle.iocAssociations.get,chronicle.legacies.legacySearchUserEvents,,chronicle.iocs.searchCuratedDetectionsForIoc
chronicle.feeds.get,chronicle.iocMatches.get,chronicle.legacies.legacyStreamDetectionAlerts,,chronicle.legacies.legacyBatchGetCases
chronicle.feeds.list,chronicle.iocMatches.list,chronicle.legacies.legacyTestRuleStreaming,,chronicle.legacies.legacyBatchGetCollections
chronicle.feeds.update,chronicle.iocState.get,chronicle.logTypeSchemas.list,,chronicle.legacies.legacyFetchAlertsView
chronicle.findingsGraphs.exploreNode,chronicle.iocState.update,chronicle.logs.export,,chronicle.legacies.legacyFetchUdmSearchCsv
chronicle.findingsGraphs.initializeGraph,chronicle.iocs.batchGet,chronicle.logs.get,,chronicle.legacies.legacyFetchUdmSearchView
chronicle.findingsRefinementDeployments.get,chronicle.iocs.findFirstAndLastSeen,chronicle.logs.list,,chronicle.legacies.legacyFindAssetEvents
chronicle.findingsRefinementDeployments.list,chronicle.iocs.get,chronicle.messages.get,,chronicle.legacies.legacyFindRawLogs
chronicle.findingsRefinementDeployments.update,chronicle.iocs.searchCuratedDetectionsForIoc,chronicle.messages.list,,chronicle.legacies.legacyFindUdmEvents
chronicle.findingsRefinements.computeActivity,chronicle.legacies.legacyBatchGetCases,chronicle.multitenantDirectories.get,,chronicle.legacies.legacyGetAlert
chronicle.findingsRefinements.computeAllActivities,chronicle.legacies.legacyBatchGetCollections,chronicle.nativeDashboards.get,,chronicle.legacies.legacyGetCuratedRulesTrends
chronicle.findingsRefinements.create,chronicle.legacies.legacyFetchAlertsView,chronicle.nativeDashboards.list,,chronicle.legacies.legacyGetDetection
chronicle.findingsRefinements.get,chronicle.legacies.legacyFetchUdmSearchCsv,chronicle.operations.get,,chronicle.legacies.legacyGetEventForDetection
chronicle.findingsRefinements.list,chronicle.legacies.legacyFetchUdmSearchView,chronicle.operations.list,,chronicle.legacies.legacyGetRuleCounts
chronicle.findingsRefinements.test,chronicle.legacies.legacyFindAssetEvents,chronicle.operations.streamSearch,,chronicle.legacies.legacyGetRulesTrends
chronicle.findingsRefinements.update,chronicle.legacies.legacyFindRawLogs,chronicle.operations.wait,,chronicle.legacies.legacyRunTestRule
chronicle.forwarders.create,chronicle.legacies.legacyFindUdmEvents,chronicle.preferenceSets.get,,chronicle.legacies.legacySearchArtifactEvents
chronicle.forwarders.delete,chronicle.legacies.legacyGetAlert,chronicle.preferenceSets.update,,chronicle.legacies.legacySearchArtifactIoCDetails
chronicle.forwarders.generate,chronicle.legacies.legacyGetCuratedRulesTrends,chronicle.referenceLists.get,,chronicle.legacies.legacySearchAssetEvents
chronicle.forwarders.get,chronicle.legacies.legacyGetDetection,chronicle.referenceLists.list,,chronicle.legacies.legacySearchCuratedDetections
chronicle.forwarders.list,chronicle.legacies.legacyGetEventForDetection,chronicle.referenceLists.verifyReferenceList,,chronicle.legacies.legacySearchCustomerStats
chronicle.forwarders.update,chronicle.legacies.legacyGetRuleCounts,chronicle.retrohunts.get,,chronicle.legacies.legacySearchDetections
chronicle.globalDataAccessScopes.permit,chronicle.legacies.legacyGetRulesTrends,chronicle.retrohunts.list,,chronicle.legacies.legacySearchDomainsRecentlyRegistered
